float_val,fixed_val,float_sine,fixed_sine,scaled_float,fixed_err
0.050046,522,0.050025,1607,1639,32.225586
0.050142,523,0.050121,1607,1642,35.363281
0.050238,524,0.050217,1607,1646,38.500854
0.050334,525,0.050312,1607,1649,41.638550
0.050430,526,0.050408,1607,1652,44.776123
0.050525,527,0.050504,1607,1655,47.913696
0.050621,528,0.050600,1607,1658,51.051147
0.050717,529,0.050695,1607,1661,54.188721
0.050813,530,0.050791,1607,1664,57.326294
0.050909,531,0.050887,1607,1667,60.463867
0.051005,532,0.050983,1607,1671,63.601318
0.051101,533,0.051078,1607,1674,66.738892
0.051197,534,0.051174,1607,1677,69.876343
0.051292,535,0.051270,1607,1680,73.013794
0.051388,536,0.051366,1607,1683,76.151367
0.051484,537,0.051461,1607,1686,79.288696
0.051580,538,0.051557,1607,1689,82.426147
0.051676,539,0.051653,1607,1693,85.563477
0.051772,540,0.051749,1607,1696,88.700928
0.051868,541,0.051844,1607,1699,91.838257
0.051964,542,0.051940,1607,1702,94.975586
0.052059,543,0.052036,1607,1705,98.113037
0.052155,544,0.052132,1607,1708,101.250366
0.052251,545,0.052227,1607,1711,104.387695
0.052347,546,0.052323,1607,1715,107.524902
0.052443,547,0.052419,1607,1718,110.662231
0.052539,548,0.052515,1607,1721,113.799561
0.052635,549,0.052610,1607,1724,116.936768
0.052731,550,0.052706,1607,1727,120.073853
0.052826,551,0.052802,1607,1730,123.211182
0.052922,552,0.052898,1607,1733,126.348389
0.053018,553,0.052993,1607,1736,129.485474
0.053114,554,0.053089,1607,1740,132.622681
0.053210,555,0.053185,1607,1743,135.759888
0.053306,556,0.053281,1607,1746,138.896973
0.053402,557,0.053376,1607,1749,142.034180
0.053498,558,0.053472,1607,1752,145.171265
0.053593,559,0.053568,1607,1755,148.308350
0.053689,560,0.053663,1607,1758,151.445435
0.053785,561,0.053759,1607,1762,154.582397
0.053881,562,0.053855,1607,1765,157.719482
0.053977,563,0.053951,1607,1768,160.856445
0.054073,564,0.054046,1607,1771,163.993530
0.054169,565,0.054142,1607,1774,167.130493
0.054265,566,0.054238,1607,1777,170.267456
0.054360,567,0.054334,1607,1780,173.404419
0.054456,568,0.054429,1607,1784,176.541382
0.054552,569,0.054525,1607,1787,179.678345
0.054648,570,0.054621,1607,1790,182.815308
0.054744,571,0.054717,1607,1793,185.952026
0.054840,572,0.054812,1607,1796,189.088867
0.054936,573,0.054908,1607,1799,192.225830
0.055032,574,0.055004,1607,1802,195.362671
0.055127,575,0.055099,1607,1805,198.499512
0.055223,576,0.055195,1808,1809,0.636353
0.055319,577,0.055291,1808,1812,3.773071
0.055415,578,0.055387,1808,1815,6.909912
0.055511,579,0.055482,1808,1818,10.046631
0.055607,580,0.055578,1808,1821,13.183472
0.055703,581,0.055674,1808,1824,16.320190
0.055799,582,0.055770,1808,1827,19.456787
0.055894,583,0.055865,1808,1831,22.593506
0.055990,584,0.055961,1808,1834,25.730103
0.056086,585,0.056057,1808,1837,28.866821
0.056182,586,0.056152,1808,1840,32.003418
0.056278,587,0.056248,1808,1843,35.140137
0.056374,588,0.056344,1808,1846,38.276733
0.056470,589,0.056440,1808,1849,41.413330
0.056565,590,0.056535,1808,1853,44.549927
0.056661,591,0.056631,1808,1856,47.686523
0.056757,592,0.056727,1808,1859,50.822876
0.056853,593,0.056822,1808,1862,53.959473
0.056949,594,0.056918,1808,1865,57.095947
0.057045,595,0.057014,1808,1868,60.232422
0.057141,596,0.057110,1808,1871,63.368896
0.057237,597,0.057205,1808,1875,66.505371
0.057332,598,0.057301,1808,1878,69.641846
0.057428,599,0.057397,1808,1881,72.778320
0.057524,600,0.057493,1808,1884,75.914673
0.057620,601,0.057588,1808,1887,79.051147
0.057716,602,0.057684,1808,1890,82.187500
0.057812,603,0.057780,1808,1893,85.323730
0.057908,604,0.057875,1808,1896,88.460083
0.058004,605,0.057971,1808,1900,91.596436
0.058099,606,0.058067,1808,1903,94.732666
0.058195,607,0.058163,1808,1906,97.869019
0.058291,608,0.058258,1808,1909,101.005249
0.058387,609,0.058354,1808,1912,104.141479
0.058483,610,0.058450,1808,1915,107.277710
0.058579,611,0.058545,1808,1918,110.413940
0.058675,612,0.058641,1808,1922,113.550171
0.058771,613,0.058737,1808,1925,116.686401
0.058866,614,0.058832,1808,1928,119.822388
0.058962,615,0.058928,1808,1931,122.958618
0.059058,616,0.059024,1808,1934,126.094727
0.059154,617,0.059120,1808,1937,129.230835
0.059250,618,0.059215,1808,1940,132.366943
0.059346,619,0.059311,1808,1944,135.503052
0.059442,620,0.059407,1808,1947,138.639038
0.059538,621,0.059502,1808,1950,141.775146
0.059633,622,0.059598,1808,1953,144.911133
0.059729,623,0.059694,1808,1956,148.047119
0.059825,624,0.059790,1808,1959,151.183105
0.059921,625,0.059885,1808,1962,154.318970
0.060017,626,0.059981,1808,1965,157.454956
0.060113,627,0.060077,1808,1969,160.590820
0.060209,628,0.060172,1808,1972,163.726807
0.060305,629,0.060268,1808,1975,166.862671
