float_val,fixed_val,float_div,fixed_div,scaled_float,fixed_err
-0.989197,-32414,-0.758191,-24844,-24844,-0.400391
-0.989166,-32413,-0.758214,-24845,-24845,-0.166016
-0.989136,-32412,-0.758238,-24845,-24846,-0.933594
-0.989105,-32411,-0.758261,-24846,-24847,-0.699219
-0.989075,-32410,-0.758285,-24847,-24847,-0.466797
-0.989044,-32409,-0.758308,-24848,-24848,-0.232422
-0.989014,-32408,-0.758331,-24848,-24849,-1.000000
-0.988983,-32407,-0.758355,-24849,-24850,-0.765625
-0.988953,-32406,-0.758378,-24850,-24851,-0.533203
-0.988922,-32405,-0.758401,-24851,-24851,-0.298828
-0.988892,-32404,-0.758425,-24852,-24852,-0.066406
-0.988861,-32403,-0.758448,-24852,-24853,-0.833984
-0.988831,-32402,-0.758472,-24853,-24854,-0.601563
-0.988800,-32401,-0.758495,-24854,-24854,-0.367188
-0.988770,-32400,-0.758519,-24855,-24855,-0.134766
-0.988739,-32399,-0.758542,-24855,-24856,-0.902344
-0.988708,-32398,-0.758565,-24856,-24857,-0.669922
-0.988678,-32397,-0.758589,-24857,-24857,-0.435547
-0.988647,-32396,-0.758612,-24858,-24858,-0.203125
-0.988617,-32395,-0.758636,-24858,-24859,-0.970703
-0.988586,-32394,-0.758659,-24859,-24860,-0.738281
-0.988556,-32393,-0.758682,-24860,-24861,-0.505859
-0.988525,-32392,-0.758706,-24861,-24861,-0.273438
-0.988495,-32391,-0.758729,-24862,-24862,-0.041016
-0.988464,-32390,-0.758753,-24862,-24863,-0.808594
-0.988434,-32389,-0.758776,-24863,-24864,-0.576172
-0.988403,-32388,-0.758800,-24864,-24864,-0.343750
-0.988373,-32387,-0.758823,-24865,-24865,-0.111328
-0.988342,-32386,-0.758846,-24865,-24866,-0.878906
-0.988312,-32385,-0.758870,-24866,-24867,-0.646484
-0.988281,-32384,-0.758893,-24867,-24867,-0.414063
-0.988251,-32383,-0.758917,-24868,-24868,-0.183594
-0.988220,-32382,-0.758940,-24868,-24869,-0.951172
-0.988190,-32381,-0.758964,-24869,-24870,-0.718750
-0.988159,-32380,-0.758987,-24870,-24870,-0.486328
-0.988129,-32379,-0.759010,-24871,-24871,-0.255859
-0.988098,-32378,-0.759034,-24872,-24872,-0.023438
-0.988068,-32377,-0.759057,-24872,-24873,-0.791016
-0.988037,-32376,-0.759081,-24873,-24874,-0.560547
-0.988007,-32375,-0.759104,-24874,-24874,-0.328125
-0.987976,-32374,-0.759128,-24875,-24875,-0.095703
-0.987946,-32373,-0.759151,-24875,-24876,-0.865234
-0.987915,-32372,-0.759175,-24876,-24877,-0.632813
-0.987885,-32371,-0.759198,-24877,-24877,-0.402344
-0.987854,-32370,-0.759221,-24878,-24878,-0.169922
-0.987823,-32369,-0.759245,-24878,-24879,-0.939453
-0.987793,-32368,-0.759268,-24879,-24880,-0.707031
-0.987762,-32367,-0.759292,-24880,-24880,-0.476563
-0.987732,-32366,-0.759315,-24881,-24881,-0.244141
-0.987701,-32365,-0.759339,-24882,-24882,-0.013672
-0.987671,-32364,-0.759362,-24882,-24883,-0.783203
-0.987640,-32363,-0.759386,-24883,-24884,-0.550781
-0.987610,-32362,-0.759409,-24884,-24884,-0.320313
-0.987579,-32361,-0.759433,-24885,-24885,-0.089844
-0.987549,-32360,-0.759456,-24885,-24886,-0.857422
-0.987518,-32359,-0.759480,-24886,-24887,-0.626953
-0.987488,-32358,-0.759503,-24887,-24887,-0.396484
-0.987457,-32357,-0.759527,-24888,-24888,-0.166016
-0.987427,-32356,-0.759550,-24888,-24889,-0.935547
-0.987396,-32355,-0.759573,-24889,-24890,-0.703125
-0.987366,-32354,-0.759597,-24890,-24890,-0.472656
-0.987335,-32353,-0.759620,-24891,-24891,-0.242188
-0.987305,-32352,-0.759644,-24892,-24892,-0.011719
-0.987274,-32351,-0.759667,-24892,-24893,-0.781250
-0.987244,-32350,-0.759691,-24893,-24894,-0.550781
-0.987213,-32349,-0.759714,-24894,-24894,-0.320313
-0.987183,-32348,-0.759738,-24895,-24895,-0.089844
-0.987152,-32347,-0.759761,-24895,-24896,-0.859375
-0.987122,-32346,-0.759785,-24896,-24897,-0.628906
-0.987091,-32345,-0.759808,-24897,-24897,-0.398438
-0.987061,-32344,-0.759832,-24898,-24898,-0.167969
-0.987030,-32343,-0.759855,-24898,-24899,-0.939453
-0.987000,-32342,-0.759879,-24899,-24900,-0.708984
-0.986969,-32341,-0.759902,-24900,-24900,-0.478516
-0.986938,-32340,-0.759926,-24901,-24901,-0.248047
-0.986908,-32339,-0.759949,-24902,-24902,-0.017578
-0.986877,-32338,-0.759973,-24902,-24903,-0.789063
-0.986847,-32337,-0.759996,-24903,-24904,-0.558594
-0.986816,-32336,-0.760020,-24904,-24904,-0.328125
-0.986786,-32335,-0.760043,-24905,-24905,-0.099609
-0.986755,-32334,-0.760067,-24905,-24906,-0.869141
-0.986725,-32333,-0.760090,-24906,-24907,-0.638672
-0.986694,-32332,-0.760114,-24907,-24907,-0.410156
-0.986664,-32331,-0.760137,-24908,-24908,-0.179688
-0.986633,-32330,-0.760161,-24908,-24909,-0.951172
-0.986603,-32329,-0.760184,-24909,-24910,-0.720703
-0.986572,-32328,-0.760208,-24910,-24910,-0.492188
-0.986542,-32327,-0.760231,-24911,-24911,-0.261719
-0.986511,-32326,-0.760255,-24912,-24912,-0.033203
-0.986481,-32325,-0.760278,-24912,-24913,-0.802734
-0.986450,-32324,-0.760302,-24913,-24914,-0.574219
-0.986420,-32323,-0.760325,-24914,-24914,-0.345703
-0.986389,-32322,-0.760349,-24915,-24915,-0.115234
-0.986359,-32321,-0.760373,-24915,-24916,-0.886719
-0.986328,-32320,-0.760396,-24916,-24917,-0.658203
-0.986298,-32319,-0.760420,-24917,-24917,-0.427734
-0.986267,-32318,-0.760443,-24918,-24918,-0.199219
-0.986237,-32317,-0.760467,-24918,-24919,-0.970703
-0.986206,-32316,-0.760490,-24919,-24920,-0.742188
