float_val,fixed_val,float_mul,fixed_mul,scaled_float,fixed_err
-0.437592,-14339,0.013675,448,448,0.093750
-0.437561,-14338,0.013674,448,448,0.062500
-0.437531,-14337,0.013673,448,448,0.031250
-0.437500,-14336,0.013672,448,448,0.000000
-0.437469,-14335,0.013671,447,448,0.968750
-0.437439,-14334,0.013670,447,448,0.937500
-0.437408,-14333,0.013669,447,448,0.906250
-0.437378,-14332,0.013668,447,448,0.875000
-0.437347,-14331,0.013667,447,448,0.843750
-0.437317,-14330,0.013666,447,448,0.812500
-0.437286,-14329,0.013665,447,448,0.781250
-0.437256,-14328,0.013664,447,448,0.750000
-0.437225,-14327,0.013663,447,448,0.718750
-0.437195,-14326,0.013662,447,448,0.687500
-0.437164,-14325,0.013661,447,448,0.656250
-0.437134,-14324,0.013660,447,448,0.625000
-0.437103,-14323,0.013659,447,448,0.593750
-0.437073,-14322,0.013659,447,448,0.562500
-0.437042,-14321,0.013658,447,448,0.531250
-0.437012,-14320,0.013657,447,448,0.500000
-0.436981,-14319,0.013656,447,447,0.468750
-0.436951,-14318,0.013655,447,447,0.437500
-0.436920,-14317,0.013654,447,447,0.406250
-0.436890,-14316,0.013653,447,447,0.375000
-0.436859,-14315,0.013652,447,447,0.343750
-0.436829,-14314,0.013651,447,447,0.312500
-0.436798,-14313,0.013650,447,447,0.281250
-0.436768,-14312,0.013649,447,447,0.250000
-0.436737,-14311,0.013648,447,447,0.218750
-0.436707,-14310,0.013647,447,447,0.187500
-0.436676,-14309,0.013646,447,447,0.156250
-0.436646,-14308,0.013645,447,447,0.125000
-0.436615,-14307,0.013644,447,447,0.093750
-0.436584,-14306,0.013643,447,447,0.062500
-0.436554,-14305,0.013642,447,447,0.031250
-0.436523,-14304,0.013641,447,447,0.000000
-0.436493,-14303,0.013640,446,447,0.968750
-0.436462,-14302,0.013639,446,447,0.937500
-0.436432,-14301,0.013638,446,447,0.906250
-0.436401,-14300,0.013638,446,447,0.875000
-0.436371,-14299,0.013637,446,447,0.843750
-0.436340,-14298,0.013636,446,447,0.812500
-0.436310,-14297,0.013635,446,447,0.781250
-0.436279,-14296,0.013634,446,447,0.750000
-0.436249,-14295,0.013633,446,447,0.718750
-0.436218,-14294,0.013632,446,447,0.687500
-0.436188,-14293,0.013631,446,447,0.656250
-0.436157,-14292,0.013630,446,447,0.625000
-0.436127,-14291,0.013629,446,447,0.593750
-0.436096,-14290,0.013628,446,447,0.562500
